;LEERINHOUD;;;;;;;;;;;;;;OPMERKINGEN
;Lesinhoud;Doel;Eindtermen tweede graad, basisvorming doorstroomfinaliteit;Cesuurdoelen tweede graad;NIEUW • Bedrijfswetenschappen (tweede graad);NIEUW • Biotechnieken;NIEUW • Natuurwetenschappen;Wiskunde B+;Wiskunde B+S;Wiskunde B+S';Wiskunde B - II - D;Wiskunde B+S'';Wiskundeplan tweede graad (5u);;
Diagnostische module;;;;;;;;;;;;;;;
;;Ik kan de reeds verworven leerstof toepassen in een andere context.;13.1;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1 Omgaan met wiskundetaal;;;;;;;;;;;;;;;
;1 Symbolen in de wiskunde;;;;;;;;;;;;;;
;;Ik kan wiskundige symbolen zinvol en correct hanteren en kan uitspraken illustreren met voorbeelden.;06.20;;;;;II-Wis'-d 4;II-WisS-d A4;II-WisS'-d 4;II-Wis-d 4;II-WisS''-d 4;A5;;
;2 Logische operatoren;;;;;;;;;;;;;;
;;Ik kan logische operatoren gebruiken.;06.19;;;;;II-Wis'-d 30;II-WisS-d A36;II-WisS'-d 32;II-Wis-d 26;II-WisS''-d 36;2DI01-3;;
;;;;;;;;;;;;;;;
2 Reële getallen;;;;;;;;;;;;;;;
;1 Wat zijn irrationale getallen?;;;;;;;;;;;;;;
;;"Ik kan het bestaan van irrationale getallen illustreren en herken verschillende decimale 
vormen.";06.01;;;;;II-Wis'-d 5;II-WisS-d A5;II-WisS'-d 5;II-Wis-d 5;II-WisS''-d 5;2AL01-1;;
;2 Reële getallen;;;;;;;;;;;;;;
;;Ik kan reële getallen ordenen en voorstellen op de getallenas.;06.02;;;;;II-Wis'-d 6;II-WisS-d A6;II-WisS'-d 6;II-Wis-d 6;II-WisS''-d 6;2AL01-4, 2AL01-2;;
;3 Intervallen en deelverzamelingen;;;;;;;;;;;;;;
;;Ik kan intervallen en bijzondere deelverzamelingen van de reële getallen gebruiken en voorstellen op de getallenas.;06.02;;;;;II-Wis'-d 6;II-WisS-d A6;II-WisS'-d 6;II-Wis-d 6;II-WisS''-d 6;2AL01-5;;
;4 Vierkantswortels en derdemachtswortels;;;;;;;;;;;;;;
;;Ik kan de vierkantswortel van een positief reëel getal en de derdemachtswortel van een reëel getal berekenen.;06.03;;;;;II-Wis'-d 7;II-WisS-d A7;II-WisS'-d 7;II-Wis-d 7, II-Wis-d 7;II-WisS''-d 7;2AL01-9, 2AL01-8;;
;;;;;;;;;;;;;;;
3 Vectoren;;;;;;;;;;;;;;;
;1 Vectoren;;;;;;;;;;;;;;
;;Ik kan het begrip vector definiëren en realistisch benaderen.;;;;;;;;;;;2ME05-1;;
;2 Rekenen met vectoren in het vlak;;;;;;;;;;;;;;
